ID [IRI]	LABEL
http://purl.obolibrary.org/obo/CL_0000196	insect flight muscle cell
http://purl.obolibrary.org/obo/CL_0000197	sensory receptor cell
http://purl.obolibrary.org/obo/CL_0000198	pain receptor cell
http://purl.obolibrary.org/obo/CL_0000199	mechanoreceptor cell
http://purl.obolibrary.org/obo/CL_0000200	touch receptor cell
http://purl.obolibrary.org/obo/CL_0000202	auditory hair cell
http://purl.obolibrary.org/obo/CL_0000203	gravity sensitive cell
http://purl.obolibrary.org/obo/CL_0000204	acceleration receptive cell
http://purl.obolibrary.org/obo/CL_0000205	thermoreceptor cell
http://purl.obolibrary.org/obo/CL_0000206	chemoreceptor cell
http://purl.obolibrary.org/obo/CL_0000207	olfactory receptor cell
http://purl.obolibrary.org/obo/CL_0000208	pH receptor cell
http://purl.obolibrary.org/obo/CL_0000209	taste receptor cell
http://purl.obolibrary.org/obo/CL_0000210	photoreceptor cell
http://purl.obolibrary.org/obo/CL_0000211	electrically active cell
http://purl.obolibrary.org/obo/CL_0000214	synovial cell
http://purl.obolibrary.org/obo/CL_0000216	Sertoli cell
http://purl.obolibrary.org/obo/CL_0000218	myelinating Schwann cell
http://purl.obolibrary.org/obo/CL_0000219	motile cell
http://purl.obolibrary.org/obo/CL_0000221	ectodermal cell
http://purl.obolibrary.org/obo/CL_0000222	mesodermal cell
http://purl.obolibrary.org/obo/CL_0000223	endodermal cell
http://purl.obolibrary.org/obo/CL_0000225	anucleate cell
http://purl.obolibrary.org/obo/CL_0000226	single nucleate cell
http://purl.obolibrary.org/obo/CL_0000227	binucleate cell
http://purl.obolibrary.org/obo/CL_0000228	multinucleate cell
http://purl.obolibrary.org/obo/CL_0000232	erythrocyte
http://purl.obolibrary.org/obo/CL_0000233	platelet
http://purl.obolibrary.org/obo/CL_0000234	phagocyte
http://purl.obolibrary.org/obo/CL_0000235	macrophage
http://purl.obolibrary.org/obo/CL_0000236	B cell
http://purl.obolibrary.org/obo/CL_0000237	keratinizing barrier epithelial cell
http://purl.obolibrary.org/obo/CL_0000238	non keratinizing barrier epithelial cell
http://purl.obolibrary.org/obo/CL_0000239	brush border epithelial cell
http://purl.obolibrary.org/obo/CL_0000240	stratified squamous epithelial cell
http://purl.obolibrary.org/obo/CL_0000241	stratified cuboidal epithelial cell
http://purl.obolibrary.org/obo/CL_0000242	Merkel cell
http://purl.obolibrary.org/obo/CL_0000244	transitional epithelial cell
http://purl.obolibrary.org/obo/CL_0000246	Mauthner neuron
http://purl.obolibrary.org/obo/CL_0000249	hatching gland cell
http://purl.obolibrary.org/obo/CL_0000251	extramedullary cell
http://purl.obolibrary.org/obo/CL_0000253	eurydendroid cell
http://purl.obolibrary.org/obo/CL_0000255	eukaryotic cell
http://purl.obolibrary.org/obo/CL_0000256	uric acid accumulating cell
http://purl.obolibrary.org/obo/CL_0000287	eye photoreceptor cell
http://purl.obolibrary.org/obo/CL_0000293	structural cell
http://purl.obolibrary.org/obo/CL_0000295	somatotropin secreting cell
http://purl.obolibrary.org/obo/CL_0000300	gamete
http://purl.obolibrary.org/obo/CL_0000301	pole cell
http://purl.obolibrary.org/obo/CL_0000306	crystallin accumulating cell
http://purl.obolibrary.org/obo/CL_0000307	tracheal epithelial cell
http://purl.obolibrary.org/obo/CL_0000308	metal ion accumulating cell
http://purl.obolibrary.org/obo/CL_0000309	copper accumulating cell
http://purl.obolibrary.org/obo/CL_0000310	iron accumulating cell
http://purl.obolibrary.org/obo/CL_0000311	keratin accumulating cell
http://purl.obolibrary.org/obo/CL_0000312	keratinocyte
http://purl.obolibrary.org/obo/CL_0000313	serous secreting cell
http://purl.obolibrary.org/obo/CL_0000314	milk secreting cell
http://purl.obolibrary.org/obo/CL_0000315	tear secreting cell
http://purl.obolibrary.org/obo/CL_0000317	sebocyte
http://purl.obolibrary.org/obo/CL_0000318	sweat secreting cell
http://purl.obolibrary.org/obo/CL_0000319	mucus secreting cell
http://purl.obolibrary.org/obo/CL_0000322	pulmonary alveolar epithelial cell
http://purl.obolibrary.org/obo/CL_0000323	lysozyme secreting cell
http://purl.obolibrary.org/obo/CL_0000324	metanephric mesenchyme stem cell
http://purl.obolibrary.org/obo/CL_0000325	stuff accumulating cell
http://purl.obolibrary.org/obo/CL_0000326	glycogen accumulating cell
http://purl.obolibrary.org/obo/CL_0000327	extracellular matrix secreting cell
http://purl.obolibrary.org/obo/CL_0000329	oxygen accumulating cell
http://purl.obolibrary.org/obo/CL_0000333	migratory neural crest cell
http://purl.obolibrary.org/obo/CL_0000335	mesenchyme condensation cell
http://purl.obolibrary.org/obo/CL_0000336	adrenal medulla chromaffin cell
http://purl.obolibrary.org/obo/CL_0000339	glioblast (sensu Vertebrata)
http://purl.obolibrary.org/obo/CL_0000342	pigment cell (sensu Vertebrata)
http://purl.obolibrary.org/obo/CL_0000343	visual pigment cell (sensu Vertebrata)
http://purl.obolibrary.org/obo/CL_0000345	dental papilla cell
http://purl.obolibrary.org/obo/CL_0000346	hair follicle dermal papilla cell
http://purl.obolibrary.org/obo/CL_0000347	scleral cell
