p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.62435958531687e-280,9.46320015818761,0.764,0.038,8.12179792658436e-277,T-cells,SIT1
0,9.4418485644387,0.724,0.028,0,Fibroblasts,COL1A1
1.99534335685232e-95,9.39936214943259,0.605,0.015,9.9767167842616e-92,Macrophages,CSF1R
0,9.38737752524886,0.664,0.039,0,Fibroblasts,COL3A1
0,9.36307716782567,0.796,0.208,0,Myofibroblasts,TPM1
1.56644172026241e-108,9.35772726078829,0.647,0.036,7.83220860131206e-105,Macrophages,CCL4L2
0,9.34900036137396,0.875,0.018,0,Vascular endothelial cells,MECOM
2.77058836325158e-109,9.3477071441553,0.853,0.023,1.38529418162579e-105,Neural cells,FOXD3-AS1
0,9.33894328362664,0.644,0.093,0,Myofibroblasts,NEXN
9.03620515733867e-205,9.3151088623776,0.865,0.056,4.51810257866933e-201,Sweat gland cells,PPP1R1B
1.81130693406055e-44,9.30623811809043,0.772,0.152,9.05653467030273e-41,Melanocytes,PLXNC1
2.17646057651725e-255,9.30317014265942,0.736,0.025,1.08823028825862e-251,T-cells,GZMM
0,9.27484876728393,0.803,0.032,0,T-cells,CD6
0,9.25857881922006,0.802,0.011,0,Fibroblasts,FBLN1
4.66777654449139e-86,9.2538272069447,0.911,0.248,2.33388827224569e-82,Neural cells,PRNP
9.91883732026891e-206,9.25182018096837,0.863,0.048,4.95941866013445e-202,Sweat gland cells,AQP5
0,9.18295091087295,0.954,0.098,0,Vascular endothelial cells,CLEC14A
0,9.17812215360488,0.652,0.051,0,Myofibroblasts,SLC38A11
8.88714173914506e-72,9.17696257549422,0.911,0.036,4.44357086957253e-68,Melanocytes,PCSK2
3.52344841783968e-105,9.1767948052964,0.858,0.069,1.76172420891984e-101,Neural cells,GFRA2
8.54958248576272e-166,9.17575441867754,0.681,0.033,4.27479124288136e-162,Macrophages,TLR2
4.02729691823428e-78,9.16310373923999,0.976,0.073,2.01364845911714e-74,Melanocytes,PMEL
0,9.14940681441104,0.951,0.053,0,T-cells,CXCR4
0,9.13897156661564,0.425,0.01,0,Fibroblasts,COMP
2.87243550692877e-125,9.12540751662968,0.617,0.033,1.43621775346438e-121,Macrophages,C5AR1
0,9.11844034542026,0.935,0.02,0,Undifferentiated Keratinocytes,KRT5
0,9.09807855635591,0.552,0.031,0,Fibroblasts,ELN
4.52206138373037e-148,9.07631781624466,0.785,0.11,2.26103069186519e-144,Sweat gland cells,SMIM22
0,9.07315373351886,0.932,0.033,0,Differentiated Keratinocytes,KRT2
0,9.06437858036819,0.934,0.139,0,Vascular endothelial cells,TSPAN7
0,9.04102239563003,0.825,0.022,0,Fibroblasts,CTSK
0,9.03036750520237,0.792,0.017,0,Vascular endothelial cells,CD300LG
3.20907781681324e-128,9.02116583050291,0.602,0.03,1.60453890840662e-124,Macrophages,HLA-DQB2
0,9.01195960243962,0.337,0.021,0,Myofibroblasts,DES
6.2840237487837e-174,8.9959668119659,0.619,0.031,3.14201187439185e-170,Differentiated Keratinocytes,DSC1
1.1114427047795e-71,8.98235518997523,0.951,0.202,5.55721352389752e-68,Melanocytes,QPCT
0,8.97986418784279,0.622,0.01,0,Fibroblasts,LOX
0,8.96294947494384,0.821,0.042,0,T-cells,TBC1D10C
0,8.96187703070245,0.791,0.134,0,Myofibroblasts,MYLK
7.98689851606138e-198,8.94468460679793,0.714,0.024,3.99344925803069e-194,Macrophages,LYZ
1.67972452250999e-68,8.92807208312399,0.8,0.179,8.39862261254996e-65,Neural cells,HSPA12A
2.10677544192109e-69,8.9074321239926,0.436,0.013,1.05338772096054e-65,Differentiated Keratinocytes,KLK7
1.40950377673933e-149,8.89660584434982,0.433,0.073,7.04751888369663e-146,Myofibroblasts,MYOCD
1.18394999771203e-195,8.89391863161016,0.704,0.051,5.91974998856016e-192,T-cells,SPOCK2
3.68477271748122e-46,8.88903961212085,0.508,0.033,1.84238635874061e-42,T-cells,CCR6
0,8.85977134671717,0.853,0.021,0,Fibroblasts,CFD
2.49365168369645e-174,8.85782559519037,0.67,0.061,1.24682584184823e-170,T-cells,CD96
7.26373622703088e-84,8.83520520208572,0.816,0.033,3.63186811351544e-80,Neural cells,CDH19
6.87739765230104e-32,8.83406875229251,0.632,0.163,3.43869882615052e-28,Neural cells,MPZ
0,8.80778844873972,0.642,0.041,0,Fibroblasts,CTHRC1
0,8.79707309677399,0.494,0.006,0,Myofibroblasts,SPEG
0,8.78967021672931,0.799,0.006,0,Vascular endothelial cells,AVPR2
2.72698763514337e-46,8.78724117629915,0.797,0.143,1.36349381757168e-42,Melanocytes,MLPH
0,8.77284589012072,0.675,0.162,0,Myofibroblasts,FLNA
1.89653223391066e-209,8.76806030333078,0.894,0.231,9.48266116955329e-206,Sweat gland cells,PDCD4
1.11381407388779e-214,8.72001937072021,0.704,0.041,5.56907036943895e-211,T-cells,RAC2
1.37058191358015e-143,8.68899019566183,0.673,0.119,6.85290956790074e-140,Macrophages,CXCL1
0,8.65394042462467,0.956,0.015,0,Fibroblasts,DCN
1.49381843567477e-87,8.6478188966122,0.554,0.031,7.46909217837384e-84,Differentiated Keratinocytes,CASP14
0,8.63095240037885,0.877,0.023,0,Undifferentiated Keratinocytes,S100A2
0,8.54865589373488,0.797,0.032,0,Vascular endothelial cells,CCL23
