"","Rambow_2018_Mitosis","Rambow_2018_Pigmentation","Rambow_2018_Invasion","Rambow_2018_Neuro","Rambow_2018_MITF_Targets","Rambow_2018_Hypometabolic","Kauffmann_2008_DNA_Repair","Kauffmann_2008_DNA_Replication","Tirosh_2016_AXL","Widmer_2012_Invasive","Widmer_2012_Proliferative","Jeffs_2009_Invasive","Jeffs_2009_Proliferation","Verfaillie_2015_TEAD_Targets","Verfaillie_2015_Invasive","Verfaillie_2015_Proliferative","McNeal_2021_PMA","McNeal_2021_EDN1","Tirosh_2016_MITF","Hoek_2008_MITF_Targets","Tsoi_2018_Undifferentiated","Tsoi_2018_Neural_Crest","Tsoi_2018_Transitory","Tsoi_2018_Melanocytic","Ryu_2011_BRAFV600E_Targets","Belote_2021_Vmel","Belote_2021_Cmel","Andrews_2022_MEL","Andrews_2022_MES","Andrews_2022_NPLAS_Up","Andrews_2022_NPLAS_Down","Belote_2021_ADT","Belote_2021_MSC","Riesenberg_2015_TNF_Response","Wouters_2020_Intermediate","Wouters_2020_Mesenchymal","Wouters_2020_Melanocytic","Hoek_2006_Proliferative","Hoek_2006_Invasive"
"163","","","","","","","RBBP8","","","","","","","","RP11-224O19.2","TPD52","","","","","","","","","","","","","","","","ETFB","EMILIN1","NTM","AC013268.5","PTGFR","C1orf85","",""
"164","","","","","","","RECQL1","","","","","","","","RSAD2","FAM210B","","","","","","","","","","","","","","","","SFTPC","GADD45B","NUAK2","SDC2","CHRM2","MED15","",""
"165","","","","","","","RECQL4","","","","","","","","CHMP4C","ARVCF","","","","","","","","","","","","","","","","INPP4B","GPX7","OAS1","LGI4","XDH","DRAM2","",""
"166","","","","","","","RECQL5","","","","","","","","FAM155A","UBL3","","","","","","","","","","","","","","","","CAV2","ARHGAP29","OAS2","RGMA","PSG11","PEX10","",""
"167","","","","","","","REV1L","","","","","","","","PITX1","LDLRAD3","","","","","","","","","","","","","","","","CRYM","TPBG","OAS3","TM4SF18","ANGPTL4","CHD7","",""
"168","","","","","","","REV3L","","","","","","","","CFH","SLC23A2","","","","","","","","","","","","","","","","LRPAP1","SPON1","OASL","CYP26A1","NGF","RP11-312J18.5","",""
"169","","","","","","","RFC1","","","","","","","","GABRQ","BACE2","","","","","","","","","","","","","","","","MTHFD1L","MXRA8","OPTN","HTR7","MMP7","AC007246.3","",""
"170","","","","","","","RFC2","","","","","","","","TRIM58","AC083843.1","","","","","","","","","","","","","","","","AIF1L","RECK","PARP10","FRMPD4","GABRE","SYNE2","",""
"171","","","","","","","RFC3","","","","","","","","PRDM8","LONRF1","","","","","","","","","","","","","","","","CHADL","BICC1","PARP12","KCNS1","CBLN2","EPM2A","",""
"172","","","","","","","RFC4","","","","","","","","LOXL1","TTLL1","","","","","","","","","","","","","","","","SLCO4A1","WIF1","PARP14","APOL1","CRISPLD2","NUP50","",""
"173","","","","","","","RFC5","","","","","","","","APOL3","IVNS1ABP","","","","","","","","","","","","","","","","MYO5A","EMILIN2","PI3","FAP","IGFBP5","YBX1P10","",""
"174","","","","","","","RIF1","","","","","","","","ARHGDIB","ARRB1","","","","","","","","","","","","","","","","HERC2","TET1","GSAP","H19","GLIS3","MARCKSL1","",""
"175","","","","","","","RPA1","","","","","","","","JPH2","STAT5A","","","","","","","","","","","","","","","","DSTYK","MMP11","PLA2G4C","MYPN","CTD-2263F21.1","RP11-163N6.2","",""
"176","","","","","","","RPA2","","","","","","","","KRT80","RAB32","","","","","","","","","","","","","","","","PLP2","LTBP1","PLAUR","MEGF10","CACNG7","WDR3","",""
"177","","","","","","","RPA3","","","","","","","","EMILIN1","NANOS1","","","","","","","","","","","","","","","","PLXNC1","PRRX2","PMAIP1","ISLR2","KRT32","PRTG","",""
"178","","","","","","","RPA4","","","","","","","","TNFRSF11B","LIPA","","","","","","","","","","","","","","","","SLC3A2","GAMT","PMEPA1","ITGA4","FAM131B","RP9P","",""
"179","","","","","","","RRM1","","","","","","","","HTR1F","BCL2","","","","","","","","","","","","","","","","YWHAH","CCDC3","PNLIPRP3","AGMO","RP11-346D6.6","SRP14-AS1","",""
"180","","","","","","","RRM2","","","","","","","","RRAD","USP54","","","","","","","","","","","","","","","","HES4","COLEC12","PPP4R4","RP11-230G5.2","ZCCHC5","ZNF74","",""
"181","","","","","","","RRM2B","","","","","","","","IL18R1","STXBP1","","","","","","","","","","","","","","","","YBX3","C2orf40","PSMB9","BAALC","AC012501.3","IL1RAP","",""
"182","","","","","","","RUVBL2","","","","","","","","IL7R","VAT1","","","","","","","","","","","","","","","","HEXA","FBN2","PTGS2","TMEM178B","VEGFC","SPRY4","",""
"183","","","","","","","SHFM1","","","","","","","","AMIGO2","SASH1","","","","","","","","","","","","","","","","LPL","EFEMP2","PTX3","NES","LINC00519","SDHB","",""
"184","","","","","","","SMC1L1","","","","","","","","ATP8B1","TMEM98","","","","","","","","","","","","","","","","PTPRM","NID1","RARRES3","SYTL5","FOLR3","PGM1","",""
"185","","","","","","","SMC2L1","","","","","","","","FBN2","TRAPPC6A","","","","","","","","","","","","","","","","C6orf1","HS6ST1","RASSF4","RP11-838N2.5","DNAH11","C3orf67","",""
"186","","","","","","","SMC3L1","","","","","","","","CXCL2","ATP6V1C1","","","","","","","","","","","","","","","","GNAL","ITM2A","RELB","NTN4","AOX1","ODC1","",""
"187","","","","","","","SMC4L1","","","","","","","","NRG1","GRAMD4","","","","","","","","","","","","","","","","CYTH3","THSD4","RFTN1","NT5E","SERPINB2","ATP6V1B2","",""
"188","","","","","","","SMC1L2","","","","","","","","ISG15","FARP2","","","","","","","","","","","","","","","","NINJ1","IDH2","RHBDF2","ASB9","ITGBL1","MYH10","",""
"189","","","","","","","SMUG1","","","","","","","","HSPB6","SERINC5","","","","","","","","","","","","","","","","MC1R","MLLT11","RIPK2","EXTL1","MPP4","TMEM177","",""
"190","","","","","","","SPO11","","","","","","","","INHBA","COMTD1","","","","","","","","","","","","","","","","RAB38","MRC2","RRAS","OAS2","RP11-863P13.3","RPS27","",""
"191","","","","","","","SSRP1","","","","","","","","RASGRF2","CHCHD6","","","","","","","","","","","","","","","","KCNAB2","DNM3OS","S100A3","CTD-2023N9.1","VAT1L","FOS","",""
"192","","","","","","","SUMO1","","","","","","","","NTN4","IRS2","","","","","","","","","","","","","","","","ATP6V0D1","MDFI","SAA1","NIPAL1","STC1","CBLB","",""
"193","","","","","","","SUPT16H","","","","","","","","GUCY1B3","MYC","","","","","","","","","","","","","","","","ZMAT3","LRRC17","SCG5","TOX3","ARMC4","LRRC8D","",""
"194","","","","","","","TDG","","","","","","","","IL4I1","SLC25A23","","","","","","","","","","","","","","","","CRYAB","CXCL12","SDC4","SNED1","RP5-884M6.1","ACO2","",""
"195","","","","","","","TDP1","","","","","","","","COL12A1","ST3GAL5","","","","","","","","","","","","","","","","PRKCDBP","SH3PXD2A","SEC14L5","TMEM59L","AQP3","ZNF703","",""
"196","","","","","","","TEP1","","","","","","","","MT1A","MAP6D1","","","","","","","","","","","","","","","","CBR1","THBS1","SEMA3C","PRELP","ROBO4","ST3GAL4","",""
"197","","","","","","","TERF1","","","","","","","","IL11","MFGE8","","","","","","","","","","","","","","","","CREG1","TMEM132C","SERPINA1","CCNA1","AKR1B10","MYC","",""
"198","","","","","","","TERF2","","","","","","","","TMEM158","PPARGC1B","","","","","","","","","","","","","","","","LITAF","ISLR","SERPINB2","PTRF","FLT1","C9orf43","",""
"199","","","","","","","TERT","","","","","","","","STK33","GLUD2","","","","","","","","","","","","","","","","SLC6A17","NCAM1","SERPINB8","PRDM16","RP11-341G5.3","LINC00849","",""
"200","","","","","","","TINF2","","","","","","","","ARNTL2","PI4KAP1","","","","","","","","","","","","","","","","CYB5R1","CLDN11","SERPIND1","TMEM25","ARL14","GSTM4","",""
"201","","","","","","","TOP1","","","","","","","","PKP2","PARD6G","","","","","","","","","","","","","","","","KLF6","FKBP10","SERPINE1","C1S","TEK","UST","",""
"202","","","","","","","TOP2A","","","","","","","","LAMC2","HSF4","","","","","","","","","","","","","","","","FEZ1","PPAP2B","SERTAD4","TSPAN7","IL1RL1","ATP6V1E2","",""
"203","","","","","","","TOP2B","","","","","","","","TOR4A","FBXL7","","","","","","","","","","","","","","","","ATP6V1E1","BCL11A","SHISA2","GBP3","CPA3","LARGE","",""
"204","","","","","","","TOPBP1","","","","","","","","SOD3","GPR153","","","","","","","","","","","","","","","","CHCHD6","ADGRL1","SLC15A3","VASH1","PARM1","ATP6V1C1","",""
"205","","","","","","","TOP3A","","","","","","","","TMEM119","PFKFB2","","","","","","","","","","","","","","","","AHR","NASP","SLC22A4","GBP1","ADAMTS15","NUP93","",""
"206","","","","","","","TOP3B","","","","","","","","SRGN","PSAP","","","","","","","","","","","","","","","","VEPH1","BEND5","SLC25A24","KCNC1","WNT5B","IRX5","",""
"207","","","","","","","TP53","","","","","","","","IGFBP6","RP11-334C17.5","","","","","","","","","","","","","","","","ADIPOR1","CCND1","SLC2A6","IQCJ-SCHIP1","KRT80","ADCK1","",""
"208","","","","","","","TP53BP1","","","","","","","","SCG2","DIP2C","","","","","","","","","","","","","","","","HIPK2","IL11RA","SNORA1","NRP1","CCBE1","NAB2","",""
"209","","","","","","","TP53I3","","","","","","","","IL1RL1","RAB3A","","","","","","","","","","","","","","","","GPR137B","EVA1B","SOD2","LINC00607","KCNK1","LAMTOR5-AS1","",""
"210","","","","","","","TP73","","","","","","","","TOX2","THNSL1","","","","","","","","","","","","","","","","AK1","PALLD","SP100","RASAL1","AC113617.1","GNPDA1","",""
"211","","","","","","","TP73L","","","","","","","","NLRP3","AVPI1","","","","","","","","","","","","","","","","HTATIP2","FOSB","SQRDL","FES","KCNMA1","LIPT2","",""
"212","","","","","","","TREX1","","","","","","","","BIRC3","GNPTAB","","","","","","","","","","","","","","","","ST8SIA6","FAT1","SRGN","MX2","ALOX5AP","YBX1","",""
"213","","","","","","","TREX2","","","","","","","","HSPB7","LGALS3","","","","","","","","","","","","","","","","CYP27A1","CPXM1","STX11","SPTLC3","RP11-215A19.1","OXNAD1","",""
"214","","","","","","","UBE1","","","","","","","","FBN1","TANGO2","","","","","","","","","","","","","","","","MAFIP","CNN2","TAP1","RP11-114H23.3","ITGB4","CLN6","",""
"215","","","","","","","UBE2A","","","","","","","","SULF1","ATP7B","","","","","","","","","","","","","","","","COPRS","ROBO2","TAPBP","CERKL","NEXN","SLC43A3","",""
"216","","","","","","","UBE2B","","","","","","","","KCNMA1","GSTO1","","","","","","","","","","","","","","","","GTF2F2","COL16A1","TFPI","RP11-66B24.1","PITX1","ZNF749","",""
"217","","","","","","","UBE2D2","","","","","","","","PROSER2-AS1","SOX13","","","","","","","","","","","","","","","","SLC35B2","TMEM263","TGFBI","SERPINE1","NRP1","ACSL3","",""
"218","","","","","","","UBE2D3","","","","","","","","SSC5D","CLCN7","","","","","","","","","","","","","","","","P2RX7","NGFRAP1","TGM2","ZNF788","ACTG2","ATP6V0B","",""
"219","","","","","","","UBE2I","","","","","","","","DENND2A","KREMEN1","","","","","","","","","","","","","","","","SERPINB1","PYCR1","THBS1","RP11-114H23.1","AXL","TRIM62","",""
"220","","","","","","","UBE2L3","","","","","","","","PDCD1LG2","SETDB2","","","","","","","","","","","","","","","","RASGEF1B","PLEKHG2","TLR7","EHD2","ATP8B1","RCC2","",""
"221","","","","","","","UBE2N","","","","","","","","S1PR3","PPFIBP2","","","","","","","","","","","","","","","","AHNAK2","DOCK1","TMEM132A","STAG3","ELTD1","ATP11A","",""
"222","","","","","","","UBE2V2","","","","","","","","COL6A3","ASB13","","","","","","","","","","","","","","","","CCNDBP1","MGLL","TMEM158","ZNF860","RP11-54O7.3","AC083843.1","",""
"223","","","","","","","UNG","","","","","","","","LPAR1","CERS4","","","","","","","","","","","","","","","","FUCA2","SLIT3","TNFAIP3","OLFML3","AC018464.3","MFAP3L","",""
"224","","","","","","","WDR33","","","","","","","","VIT","CHCHD10","","","","","","","","","","","","","","","","LRRC16A","OSTC","TNFRSF10B","CCL17","KRT6B","EIF5A2","",""
"225","","","","","","","WRN","","","","","","","","COL3A1","SCARB1","","","","","","","","","","","","","","","","FCRLA","CBX5","TNFRSF11B","BFSP1","LOXL1","GCAT","",""
"226","","","","","","","WRNIP1","","","","","","","","PTPRN","ARNT2","","","","","","","","","","","","","","","","CCL28","ANTXR1","TNFRSF9","RP11-566K19.6","RP11-1069G10.2","CA5BP1","",""
"227","","","","","","","XAB2","","","","","","","","DNAH2","TBC1D14","","","","","","","","","","","","","","","","EDNRB","PCOLCE","TNIP1","OLIG1","CMAHP","XPNPEP3","",""
"228","","","","","","","XPA","","","","","","","","DKK3","EN2","","","","","","","","","","","","","","","","GAA","CYR61","TNIP3","RP11-37L2.1","WNT5A","CCNB1IP1","",""
"229","","","","","","","XPC","","","","","","","","FGF1","QDPR","","","","","","","","","","","","","","","","CES1","TPM1","TRAF1","COL15A1","IGFBP6","EEF1A1P8","",""
"230","","","","","","","XRCC1","","","","","","","","XAF1","AK9","","","","","","","","","","","","","","","","ARMC9","FSTL1","UBA7","LRRC32","FLNB-AS1","MDGA2","",""
"231","","","","","","","XRCC2","","","","","","","","HECW2","IGSF8","","","","","","","","","","","","","","","","AIG1","MYH10","UBD","LIN28B","ADAM28","MIIP","",""
"232","","","","","","","XRCC3","","","","","","","","RP11-166D19.1","RGS20","","","","","","","","","","","","","","","","PITHD1","PTK7","VCAM1","ZSCAN18","PLAC8","R3HCC1L","",""
"233","","","","","","","XRCC4","","","","","","","","CFB","KAZN","","","","","","","","","","","","","","","","HR","TPM4","VEGFC","DUX4L9","C7orf69","MUTYH","",""
"234","","","","","","","XRCC5","","","","","","","","FLNC","DSTYK","","","","","","","","","","","","","","","","SPECC1","TBX15","WWC1","GPC3","RP11-265N7.1","SASH1","",""
"235","","","","","","","","","","","","","","","ACE","PODXL2","","","","","","","","","","","","","","","","","NKD2","ZC3H12A","STON1","HSD11B1","MVD","",""
"236","","","","","","","","","","","","","","","CYP1B1","DFNB31","","","","","","","","","","","","","","","","","IER2","ZMIZ2","SRGN","CTD-2532K18.2","SLC3A2","",""
"237","","","","","","","","","","","","","","","GALNT13","ZBED3-AS1","","","","","","","","","","","","","","","","","DCHS1","ZP4","ZNF415","ROS1","TMEM86A","",""
"238","","","","","","","","","","","","","","","SLC6A10P","KIAA0930","","","","","","","","","","","","","","","","","HIF3A","ZSWIM4","AZGP1","STC2","ATP1A1OS","",""
"239","","","","","","","","","","","","","","","COL5A2","FNIP2","","","","","","","","","","","","","","","","","C1QTNF2","","FRAS1","PGM5P2","GLUD2","",""
"240","","","","","","","","","","","","","","","THBS1","GK","","","","","","","","","","","","","","","","","LRP1","","KIAA0040","TSPAN2","YPEL4","",""
"241","","","","","","","","","","","","","","","SERPINB2","TPCN2","","","","","","","","","","","","","","","","","PMEPA1","","SERPINA5","PTPRN","ZBTB10","",""
"242","","","","","","","","","","","","","","","CLIC2","ANKRD44","","","","","","","","","","","","","","","","","ROBO1","","MRGPRX4","GJA5","E2F2","",""
"243","","","","","","","","","","","","","","","MPP4","KREMEN2","","","","","","","","","","","","","","","","","JUNB","","AC122129.1","MYPN","SLC25A16","",""
"244","","","","","","","","","","","","","","","KLHL4","PLEKHG3","","","","","","","","","","","","","","","","","PFN2","","SORBS2","JAM2","IFT81","",""
"245","","","","","","","","","","","","","","","CA12","OSTM1","","","","","","","","","","","","","","","","","LOXL2","","ADAMTS3","CSF2","F10","",""
"246","","","","","","","","","","","","","","","RARRES3","ATP11A","","","","","","","","","","","","","","","","","PCDH18","","ABCA9","LAYN","MTUS1","",""
"247","","","","","","","","","","","","","","","VEGFC","FAXDC2","","","","","","","","","","","","","","","","","THY1","","PROSER2-AS1","PTPRO","HSPBAP1","",""
"248","","","","","","","","","","","","","","","COL4A6","NHSL1","","","","","","","","","","","","","","","","","TMEM119","","SLC5A3","VIPR1","C12orf66","",""
"249","","","","","","","","","","","","","","","WNT5A","MFAP3L","","","","","","","","","","","","","","","","","DUSP1","","PPEF1","GREM1","RP11-418J17.1","",""
"250","","","","","","","","","","","","","","","HHIPL2","TCFL5","","","","","","","","","","","","","","","","","EML4","","LINC00565","RAB27B","ZBED3-AS1","",""
"251","","","","","","","","","","","","","","","OASL","ITPK1","","","","","","","","","","","","","","","","","IGFBP5","","SERTAD4-AS1","C8orf4","SDC3","",""
"252","","","","","","","","","","","","","","","CLDN11","CHKA","","","","","","","","","","","","","","","","","SVIL","","CDH2","APBB1IP","TMEM97","",""
"253","","","","","","","","","","","","","","","CSF1R","TRIB1","","","","","","","","","","","","","","","","","OAF","","RP11-298D21.3","CRH","XYLB","",""
"254","","","","","","","","","","","","","","","MYPN","TRIB2","","","","","","","","","","","","","","","","","TPM2","","DDX60","AREG","RP11-660L16.2","",""
"255","","","","","","","","","","","","","","","S100A4","PIK3C2B","","","","","","","","","","","","","","","","","CNN3","","DLL3","PRSS3","SYT14","",""
"256","","","","","","","","","","","","","","","TGM2","MYH10","","","","","","","","","","","","","","","","","COL12A1","","CPA2","LINC00313","DGCR6","",""
"257","","","","","","","","","","","","","","","SLIT2","SLC25A16","","","","","","","","","","","","","","","","","COL6A3","","RDH5","PXDN","SLC39A6","",""
"258","","","","","","","","","","","","","","","TNFAIP2","CTD-3065J16.9","","","","","","","","","","","","","","","","","TIMP3","","EVI2A","CFH","SREBF2","",""
"259","","","","","","","","","","","","","","","KRT18","MAP3K1","","","","","","","","","","","","","","","","","EFNA5","","CTD-2521M24.9","FGF7","DHCR24","",""
"260","","","","","","","","","","","","","","","CCL5","GPNMB","","","","","","","","","","","","","","","","","LOC400043","","EPHB3","C4A","PPP1R3F","",""
"261","","","","","","","","","","","","","","","IFI44L","IGSF3","","","","","","","","","","","","","","","","","OSR2","","GPR55","RP11-227H15.4","NCK2","",""
"262","","","","","","","","","","","","","","","MAGEA10","HSPA12A","","","","","","","","","","","","","","","","","SERPINF1","","LYPD5","AC093627.7","FAXC","",""
"263","","","","","","","","","","","","","","","MX2","ADAM11","","","","","","","","","","","","","","","","","SLIT2","","GLDC","VGLL3","C11orf24","",""
"264","","","","","","","","","","","","","","","NRP1","MARCKSL1","","","","","","","","","","","","","","","","","OLFML3","","CPM","RP11-818F20.5","AUNIP","",""
"265","","","","","","","","","","","","","","","CCDC80","TATDN2P2","","","","","","","","","","","","","","","","","PDGFRA","","NRXN3","THSD4","ENTPD6","",""
"266","","","","","","","","","","","","","","","MAGEA11","SOX5","","","","","","","","","","","","","","","","","ADAMTS9","","ZNF438","GLP2R","TRIM33","",""
"267","","","","","","","","","","","","","","","GABRA2","C1orf198","","","","","","","","","","","","","","","","","FLRT2","","RP11-244F12.3","FAM20C","FAM161A","",""
"268","","","","","","","","","","","","","","","HRH1","ARSG","","","","","","","","","","","","","","","","","PTH1R","","NPPC","LINC00705","LONP2","",""
"269","","","","","","","","","","","","","","","IFITM1","FMN1","","","","","","","","","","","","","","","","","ADAMTS1","","PI15","CD24P4","TRAK2","",""
"270","","","","","","","","","","","","","","","NR2F1","RP11-356I2.4","","","","","","","","","","","","","","","","","COL4A2","","PRSS23","RP11-709B3.2","CNIH3","",""
"271","","","","","","","","","","","","","","","TRPC4","FAHD2CP","","","","","","","","","","","","","","","","","LUM","","DRAXIN","MYOCD","MARS2","",""
"272","","","","","","","","","","","","","","","TGFB2","ACSL1","","","","","","","","","","","","","","","","","TMSB4X","","DMRTA2","IL7R","PELI1","",""
"273","","","","","","","","","","","","","","","CDK15","GS1-358P8.4","","","","","","","","","","","","","","","","","F2R","","COL5A2","CALB2","SGK3","",""
"274","","","","","","","","","","","","","","","ZNF385D","GPRC5B","","","","","","","","","","","","","","","","","GPC3","","RP11-114H23.2","IL1B","CNNM2","",""
"275","","","","","","","","","","","","","","","KRT8","LYST","","","","","","","","","","","","","","","","","RBFOX2","","NELL2","CTD-2066L21.3","PIK3CB","",""
"276","","","","","","","","","","","","","","","RP5-1011O1.3","SCD","","","","","","","","","","","","","","","","","CDH11","","AP000769.1","COL4A5","DUSP16","",""
"277","","","","","","","","","","","","","","","OXTR","SLC18B1","","","","","","","","","","","","","","","","","COL4A1","","TNFRSF10C","HOTAIR","DHCR7","",""
"278","","","","","","","","","","","","","","","NGEF","LINC00473","","","","","","","","","","","","","","","","","AXL","","COL28A1","FOXL1","AC093642.5","",""
"279","","","","","","","","","","","","","","","LOX","CCDC78","","","","","","","","","","","","","","","","","IGFBP3","","NAALADL2","NR2F1","ARHGAP42","",""
"280","","","","","","","","","","","","","","","FMOD","SLC5A4","","","","","","","","","","","","","","","","","RBMS3","","PHEX","WNT5A-AS1","GNB1L","",""
"281","","","","","","","","","","","","","","","PPARG","TPPP","","","","","","","","","","","","","","","","","BASP1","","ANGPTL4","RP13-631K18.3","GPR153","",""
"282","","","","","","","","","","","","","","","RP11-513O17.2","LINC00920","","","","","","","","","","","","","","","","","MEST","","S100A16","TNFSF18","ARRB1","",""
"283","","","","","","","","","","","","","","","SRPX2","SMPDL3A","","","","","","","","","","","","","","","","","MFAP4","","RNF150","EFNB2","FASN","",""
"284","","","","","","","","","","","","","","","IRAK2","FRMD3","","","","","","","","","","","","","","","","","FOS","","SSC5D","PTN","USP53","",""
"285","","","","","","","","","","","","","","","MGST1","SIRPA","","","","","","","","","","","","","","","","","NRP1","","CTF1","RP11-1002K11.1","FUOM","",""
"286","","","","","","","","","","","","","","","CRISPLD2","TMEM170B","","","","","","","","","","","","","","","","","GAS5","","HMCN1","SLIT2","ZBTB24","",""
"287","","","","","","","","","","","","","","","AR","NXN","","","","","","","","","","","","","","","","","MXRA5","","RP11-166D19.1","FGF17","LIMK2","",""
"288","","","","","","","","","","","","","","","EPHB2","HPS4","","","","","","","","","","","","","","","","","TWIST2","","CDK6","RP11-48O20.4","PSPH","",""
"289","","","","","","","","","","","","","","","LAMA3","TDRD3","","","","","","","","","","","","","","","","","CD248","","FAM115C","EBI3","BIN3","",""
"290","","","","","","","","","","","","","","","CDH12","GPR56","","","","","","","","","","","","","","","","","CRABP2","","ZNF214","KRT85","PLD1","",""
"291","","","","","","","","","","","","","","","TRIM22","CTA-217C2.1","","","","","","","","","","","","","","","","","COL6A1","","FAM111A","CD248","ANKRD9","",""
"292","","","","","","","","","","","","","","","RP11-400K9.4","CRYL1","","","","","","","","","","","","","","","","","MFAP2","","PCDH1","GDA","PCK2","",""
"293","","","","","","","","","","","","","","","PTPLAD2","MICAL1","","","","","","","","","","","","","","","","","EDNRA","","VDR","SAMD3","GAREM","",""
"294","","","","","","","","","","","","","","","ARHGAP22","KIF1A","","","","","","","","","","","","","","","","","MDK","","XKR9","MXRA8","SPIRE1","",""
"295","","","","","","","","","","","","","","","CHRDL1","CLCN5","","","","","","","","","","","","","","","","","ID3","","TMTC1","LINC00517","CERS1","",""
"296","","","","","","","","","","","","","","","SLFN11","RHPN1","","","","","","","","","","","","","","","","","COL6A2","","BATF2","RP11-148B18.3","LINC00337","",""
"297","","","","","","","","","","","","","","","ADAM19","LEF1","","","","","","","","","","","","","","","","","NES","","S100A6","AC073072.5","HDAC4","",""
"298","","","","","","","","","","","","","","","COLEC12","RAB27A","","","","","","","","","","","","","","","","","LAMB1","","RP11-2E17.1","MARCH4","MAFF","",""
"299","","","","","","","","","","","","","","","STAC","RNF144B","","","","","","","","","","","","","","","","","SERPINH1","","NDRG4","CFB","SLC31A1","",""
"300","","","","","","","","","","","","","","","MYL9","LA16c-390E6.4","","","","","","","","","","","","","","","","","EGR1","","TRIM51CP","GOLT1A","IMPA2","",""
"301","","","","","","","","","","","","","","","NTSR1","ADARB1","","","","","","","","","","","","","","","","","MMP2","","NRGN","SCNN1A","PPP1R3D","",""
"302","","","","","","","","","","","","","","","TSLP","SEMA6D","","","","","","","","","","","","","","","","","KCNQ1OT1","","MYO5C","RP11-720L2.4","FAM210A","",""
"303","","","","","","","","","","","","","","","PDGFRB","CHST11","","","","","","","","","","","","","","","","","DCN","","LRRN4CL","KLRC2","ZNF689","",""
"304","","","","","","","","","","","","","","","STC2","DNAJC12","","","","","","","","","","","","","","","","","FBN1","","HAPLN3","ZNF469","DAAM1","",""
"305","","","","","","","","","","","","","","","PCDHGA7","REEP6","","","","","","","","","","","","","","","","","FGFR1","","AC017099.3","GLIS1","MORN1","",""
"306","","","","","","","","","","","","","","","GPR1","CDK18","","","","","","","","","","","","","","","","","FBLN1","","GAS7","RARRES1","P2RX4","",""
"307","","","","","","","","","","","","","","","SLC16A9","GPR19","","","","","","","","","","","","","","","","","CCND2","","SCN1B","ITGA8","CLYBL","",""
"308","","","","","","","","","","","","","","","EGFR","PDGFD","","","","","","","","","","","","","","","","","COL21A1","","CIITA","CTD-2269F5.1","ACSS1","",""
"309","","","","","","","","","","","","","","","SPOCD1","FN3K","","","","","","","","","","","","","","","","","PXDN","","RP11-114M1.2","ZSCAN1","PEPD","",""
"310","","","","","","","","","","","","","","","FRMPD4","RTN4R","","","","","","","","","","","","","","","","","COL5A1","","RP11-266L9.5","WFDC10B","CYB561A3","",""
"311","","","","","","","","","","","","","","","AKR1C3","SCAMP5","","","","","","","","","","","","","","","","","RUNX1T1","","TRIM67","ANKRD1","STRADB","",""
"312","","","","","","","","","","","","","","","PRTFDC1","C10orf11","","","","","","","","","","","","","","","","","NREP","","ISG15","ABI3BP","PDCD4-AS1","",""
"313","","","","","","","","","","","","","","","CLU","ZFYVE16","","","","","","","","","","","","","","","","","SOX11","","OAS1","RP11-490M8.1","NBL1","",""
"314","","","","","","","","","","","","","","","FAM101A","HMG20B","","","","","","","","","","","","","","","","","COL5A2","","POU3F2","TGFBI","ITPK1","",""
"315","","","","","","","","","","","","","","","PLAGL1","FAM149A","","","","","","","","","","","","","","","","","CXCL14","","ZNF295-AS1","DPY19L2P1","PC","",""
"316","","","","","","","","","","","","","","","IL8","SHC4","","","","","","","","","","","","","","","","","VCAN","","UNC80","COL6A3","GNG12-AS1","",""
"317","","","","","","","","","","","","","","","CACNA1C","FAM222A","","","","","","","","","","","","","","","","","PRRX1","","ARHGAP15","COL5A2","CAMKMT","",""
"318","","","","","","","","","","","","","","","DSE","SLC1A4","","","","","","","","","","","","","","","","","TWIST1","","S100A2","VNN1","TRAF3IP2","",""
"319","","","","","","","","","","","","","","","FAM84A","STX7","","","","","","","","","","","","","","","","","MEG3","","LOXL2","F2RL1","ANKRD54","",""
"320","","","","","","","","","","","","","","","SLC16A2","CUBN","","","","","","","","","","","","","","","","","TCF4","","FHDC1","FAM5B","TMEM201","",""
"321","","","","","","","","","","","","","","","COL6A2","HAGHL","","","","","","","","","","","","","","","","","COL3A1","","IFITM10","EMR1","PTP4A1","",""
"322","","","","","","","","","","","","","","","FZD2","TSPAN33","","","","","","","","","","","","","","","","","COL1A1","","GXYLT2","IVL","ARNT2","",""
"323","","","","","","","","","","","","","","","EFNB2","NEDD9","","","","","","","","","","","","","","","","","COL1A2","","SLC37A2","RP11-549K20.1","TCFL5","",""
"324","","","","","","","","","","","","","","","LOXL1-AS1","PLA2G6","","","","","","","","","","","","","","","","","","","ADAMTS1","FAT3","EGR2","",""
"325","","","","","","","","","","","","","","","ARTN","CGN","","","","","","","","","","","","","","","","","","","STK32B","CCDC85A","PPFIA1","",""
"326","","","","","","","","","","","","","","","STC1","FAM69B","","","","","","","","","","","","","","","","","","","ATL1","AGTR1","PLEKHA5","",""
"327","","","","","","","","","","","","","","","LTBP1","ACACB","","","","","","","","","","","","","","","","","","","MMP15","PDE1C","IGSF8","",""
"328","","","","","","","","","","","","","","","MECOM","TRIM2","","","","","","","","","","","","","","","","","","","AP001007.1","CTC-327F10.4","LRP4","",""
"329","","","","","","","","","","","","","","","ZNF804A","RP11-1055B8.4","","","","","","","","","","","","","","","","","","","COTL1","EPGN","NT5M","",""
