"","Rambow_2018_Mitosis","Rambow_2018_Pigmentation","Rambow_2018_Invasion","Rambow_2018_Neuro","Rambow_2018_MITF_Targets","Rambow_2018_Hypometabolic","Kauffmann_2008_DNA_Repair","Kauffmann_2008_DNA_Replication","Tirosh_2016_AXL","Widmer_2012_Invasive","Widmer_2012_Proliferative","Jeffs_2009_Invasive","Jeffs_2009_Proliferation","Verfaillie_2015_TEAD_Targets","Verfaillie_2015_Invasive","Verfaillie_2015_Proliferative","McNeal_2021_PMA","McNeal_2021_EDN1","Tirosh_2016_MITF","Hoek_2008_MITF_Targets","Tsoi_2018_Undifferentiated","Tsoi_2018_Neural_Crest","Tsoi_2018_Transitory","Tsoi_2018_Melanocytic","Ryu_2011_BRAFV600E_Targets","Belote_2021_Vmel","Belote_2021_Cmel","Andrews_2022_MEL","Andrews_2022_MES","Andrews_2022_NPLAS_Up","Andrews_2022_NPLAS_Down","Belote_2021_ADT","Belote_2021_MSC","Riesenberg_2015_TNF_Response","Wouters_2020_Intermediate","Wouters_2020_Mesenchymal","Wouters_2020_Melanocytic","Hoek_2006_Proliferative","Hoek_2006_Invasive"
"25","CDCA8","","RGS5","PRIMA1","TYRP1","NDUFA4","CIB1","CTBP2","CITED1","LOXL2","KAZ","INHBA","BCHE","DDAH1","PTGFR","ATP6V1E1","NECAB2","GREM1","LZTS1","SEMA6A","SLC38A4","S100A6","COL9A1","OCA2","EGR3","IGFBP3","ANXA2","GALNT3","CCL2","CCL2","","GMPR","SERTAD4","LINC00161","CARD16","RP5-1172A22.1","ATAD3A","INPP4B","IL8"
"26","CKAP2","","RGS16","A2M","VAT1","ENPP1","CKN1","CXCR6","S100A10","MYOF","MBP","NP","C6orf192","DKK1","PTX3","ABCC5","CDH1","TRABD2B","GYG2","CHKA","SLC16A14","RAMP1","CX3CL1","NR4A3","FLRT3","ERBB3","MLANA","GAS7","CDH13","CDH13","","PRELP","CDON","C3","MT1A","KISS1","NCAPH2","IRF4","INHBA"
"27","NUSAP1","","DLX1","NRXN1","TRIM2","RPE","CRY1","DEK","UCN2","NRP1","MICAL1","IGFBP6","CAPN3","DKK3","CPA4","TMEM33","KU-MEL-3","SHC2","SDCBP","TMCC2","SCN5A","PMEPA1","BCHE","NAV2","SLC20A1","FAM210B","CISD1","GJB1","CDH2","CDH2","","IGFBP7","RGS2","FDCSP","TM4SF1","ALPK2","ZCCHC17","ITPKB","KIAA1199"
"28","KIF11","","SLIT2","CADM1","PPARGC1A","","CRY2","DNTT","SPHK1","NTM","MITF","NFE2L3","D4S234E","DSE","SERPINE1","NDUFAF4","GAPDHS","OXTR","LOXL4","MREG","SCNN1A","PCSK5","ANO4","MYO1D","IGFBP3","TXNIP","PPIA","GPM6B","CFH","CFH","","HLA-H","ABI3BP","C5orf46","ZFP3","MEG3","SLC11A2","LZTS1","LCRISP2"
"29","CENPE","","GPC3","SLITRK6","FOXM1","","CSNK1D","DUT","TRIML2","NUAK1","MLANA","CYR61","SGCD","EDN1","CCL2","TCTN3","GNAL","CH25H","ETV5","IRF4","SH3RF2","PHLDA2","ALDH1A1","MAPK4","DUSP6","PLAT","RAB2A","GPR137B","CITED2","CITED2","","GPR155","ADAM12","C6orf58","IFITM3","NETO1","TRAPPC6A","MATP","LOX"
"30","PLK4","","ADM","THBS2","SLC29A1","","CSNK1E","ECGF1","S100A6","OSMR","MYO1D","AKR1C2 ","PROS1","EGFR","CCDC68","DDI2","CYP24A1","MEG3","C1orf85","TDRD7","SERPINB7","PLA2G7","","MAT1A","NT5E","CXXC5","ABCA1","GPR143","CLMP","CLMP","","CTSD","RBP1","FAM167A","CCDC8","VCAN","ULK3","MBP","LOXL2"
"31","KIF2C","","EDNRA","COL4A1","MLPH","","DCLRE1A","EGF","TMEM45A","PDGFC","NR4A3","NRP1","C1orf21","ELK3","NETO1","TAB3","AC091544.6","AL359764.2","HMCN1","SLC11A2","SLPI","OPRD1","","MLANA","SLC7A11","KCNQ1OT1","DBI","GYG2","CLU","CLU","","KIT","ARHGEF17","C8orf4","RAMP1","TMEM40","TYSND1","MITF","MICAL2"
"32","NUF2","","CYSLTR2","IL1RAP","PROX1","","DCLRE1B","EIF5A","CDKN1A","PODXL","OCA2","S100A16","SDCBP","EPHB1","EDN1","CD320","PLPPR4","KRT80","OSTM1","CDK2","SECTM1","NTM","","LXN","PHLDA2","TUBB2B","STXBP6","HES6","CNN2","CNN2","","MITF","HIST1H2BG","CCL2","ZNF385D","STMN2","MAP3K11","MLANA","NID2"
"33","CCNA2","","DDAH1","S100A4","MREG","","DCLRE1C","FEN1","UBE2C","S100A2","PHACTR1","AKR1C1","RAB27A","EPHB2","ELTD1","MCOLN1","AL136376.1","AC037198.1","ALDH7A1","ATP1A1","RUNX2","NRXN3","","KCP","CDCP1","TTYH1","ARL6IP5","HPS4","COL12A1","COL12A1","","FXYD3","COL14A1","CCL20","PDE1C","NDP","ZNF330","PHACTR1","NNMT"
"34","CDCA5","","PLXDC1","NLGN3","CA14","","DDB1","GMNN","ERO1L","SLC22A4","PIR","KYNU","CTSH","ESM1","PLAU","PTEN","PPP1R16B","FOXC2","FOSB","SLC19A2","ARHGAP29","NES","","IL16","EGR2","ANK2","CDC42","IGSF11","COL13A1","COL13A1","","C9orf3","FSTL3",NA,"SERPINA3","TRHDE","IGHMBP2","PIR","NRP1"
"35","MKI67","","VSNL1","L1CAM","MLANA","","DDB2","HBXIP","SLC16A6","SLIT2","PLXNC1","GLIPR1","GNPTAB","FAM84A","RP11-48O20.4","CABIN1","TMEM272","AQP6","RAB38","LGALS3","REN","MUC5B","","IL12RB2","CCL20","ATP10A","SCD","IGSF3","COL1A1","COL1A1","","NDRG2","ID1","CCL3L3","SLC17A9","RP13-463N16.6","HIRA","PLA1A","PDGFC"
"36","SPC25","","COL1A2","ITGA1","AMD1","","DEPC-1","HSU24186","CHI3L1","SYNJ2","PMEL","HS3ST3A1","GPNMB","FCF1","CDH6","GNPTG","GALNT3","SLC35F1","ELOVL2","RAB27A","PAWR","MAP1LC3A","","HSD17B14","CCL2","DCLK1","HLA-H","IGSF8","COL5A1","COL5A1","","GPNMB","FKBP14","CCL5","RP11-267A15.1","ADAMTS12","MTHFR","PLP1","PDGFRB"
"37","SKA1","","DLC1","AQP1","PLP1","","DMC1","HTATSF1","FN1","TCF4","RAB27A","S100A4","GALM","FENDRR","EIF1AY","FBXO7","SCIN","COL1A1","MLPH","EDNRB","PSG9","LRRC15","","HMOX1","PSIP1","PHACTR1","NUCKS1","IL16","COL6A1","COL6A1","","TSPO","CD34","CD70","IFI44L","POSTN","NSUN5","PLXNC1","PLAGL1"
"38","FBXO43","","AXL","","DLGAP5","","DUT","IGF1","S100A16","THBS1","RAB38","","SORT1","FGF1","RGS4","CLN3","AC009495.1","KRT14","PLK2","HPS4","PSG5","KIAA1755","","H2AFJ","","GLCCI1","HMGB1","IL6R","COL6A2","COL6A2","","DPP6","OBSCN","CD74","CX3CL1","CTA-392C11.1","HDDC2","RAB38","PODXL"
"39","BUB1B","","ANGPTL4","","AIF1L","","EME1","IGHMBP2","CRIP1","TLE4","RGS20","","WIPI1","FGF2","COL8A1","USP6NL","HOXD1","KRT9","CHL1","RENBP","PSG4","ITGB8","","GOLGA7B","","FJX1","ENPP2","IRF4","COL8A1","COL8A1","","VAT1","CSMD2","CD82","APOBEC3G","ESM1","HADHB","RENBP","PTGFR"
"40","CCNB2","","IGFBP6","","SAT1","","ERCC1","IL8","SLC25A37","TNFRSF11B","RHOQ","","AP1S2","FOXF1","GPR39","RP11-159F24.1","PAEP","MMP28","RDH11","PDE3B","PBX1","IER3","","QPCT","","CDH19","SAT1","ITGA9","CPA4","CPA4","","PSAP","CLEC14A","CD83","LINC00890","ZMAT4","RAD54L2","RGS20","PTX3"
"41","CDC25C","","COL3A1","","ARPC1B","","ERCC2","LIG1","LCN2","TPBG","RRAGD","","EBF2","FOXG1","FENDRR","DUSP22","PDGFD","BCAS1","LINC00473","STX7","PLAGL1","HHEX","","GFOD1","","BMPR1B","PHPT1","IVNS1ABP","CRIM1","CRIM1","","PLP1","ETS2","CDH19","BST2","CLSTN2","AKR7A2","RRAGD","SART2"
"42","KIF15","","FABP4","","CKMT2","","ERCC3","LIG3","ENO2","TPM1","SEMA6A","","LGALS3","FZD2","ESM1","ESRRA","OCA2","XKR4","RELL1","MYEF2","PHLDB2","GDNF","","GPR143","","IGF2BP3","SLC1A4","LAMA1","CSF1","CSF1","","OCA2","IQGAP2","CFB","FAM109B","SERPINE1","ADSL","S100A1","SERPINE1"
"43","SGMS2","","CDH2","","LGALS3","","ERCC4","LIG4","PFKFB4","TRAM2","SIRPA","","PTPLA","G0S2","CTA-392C11.1","CLUH","TNR","LYPD6B","C21orf91","PLXNC1","PLEKHA6","GLI2","","FYB","","NR4A3","B2M","LONRF1","CYR61","CYR61","","CTSA","TMEM158","CFLAR","OPCML","CCL2","HSPA9","SILV","STC2"
"44","MAD2L1","","PTGER4","","SERPINF1","","ERCC5","MCM2","SLC16A3","WNT5A","SLC45A2","","UBL3","GALNT14","DPEP3","PPA1","DNAJC12","","SCAMP3","ACP5","PDGFC","FOXC2","","FAM83H","","SEMA6A","CDC42EP3","LZTS1","DDAH1","DDAH1","","TYRP1","FAT4","CHST15","RP11-574H6.1","COL1A1","ASB13","SNCA","TAGLN"
"45","PTTG1","","NDNF","","TRPM1","","ERCC6","MCM3","DBNDD2","ZEB1","ST3GAL6","","APOE","GCNT1","SSTR1","LOH12CR1","CDH3","","SGK3","GREB1","PLAU","FLT1","","FAM174B","","TRIO","IFITM2","MBP","DDX58","DDX58","","CD82","SP5","CLCF1","GALC","DARC","SMS","SOX10","TCF4"
"46","SKA3","","NR2F1","","VAV3","","EXO1","MCM3AP","LOXL2","","STX7","","GSTP1","GDF5","PRKY","FASN","NRG3","","ABCB5","MCOLN3","PKP2","FAT3","","EPHA5","","NRP2","CALD1","MCF2L","DKK3","DKK3","","MT1F","PID1","CLDN1","VSTM2B","SERPINB7","PRICKLE3","ST3GAL6","TGFBI"
"47","PLK1","","BGN","","CD63","","FANCA","MCM4","CFB","","TNFRSF14","","CPN1","GPR1","FPR3","MINPP1","POU3F1","","SLC7A5","QDPR","PLAC8","FEZ1","","ENTHD1","","NEDD4L","ATP1B1","MFSD12","DPYD","DPYD","","ROPN1B","PIEZO2","CNTNAP1","KCNMA1","GALNT5","SARS","TFAP2A","THBS1"
"48","BUB1","","TGM2","","MRPL44","","FANCB","MCM5","CADM1","","TRPM1","","ABCC2","GREM1","SMEK3P","NPM3","","","SIRPA","BEST1","PADI3","FAM135B","","DNAJA4","","WNT4","MLEC","MICAL1","DSE","DSE","","ST6GALNAC2","SSPN","COL22A1","SLAMF9","COL1A2","PARS2","TNFRSF14","THY1 "
"49","CDK1","","TMSB4X","","EDNRB","","FANCC","MCM6","LTBP3","","TYR","","ST6GALNAC2","GUCY1B3","TNFRSF9","GGA2","","","WDR91","VAT1","PITX1","EHF","","DENND2D","","POTEM","TIMP1","MITF","EDIL3","EDIL3","","ASAH1","CTGF","COL5A3","ISLR","CXCL12","RHBDD3","TRPM1","TNFRSF11B"
"50","ESCO2","","","","GPNMB","","FANCD2","MCM7","CD109","","TYRP1","","MREG","HBEGF","PXDN","ZNF74","","","PIGS","C14orf109","NUAK1","EML1","","C2orf88","","RAB6B","ANXA5","MLANA","EGFR","EGFR","","LOC101930452","TSHZ3","CRTAC1","MGP","COL5A1","MDN1","TYR","TPM1"
"51","UBE2C","","","","TMOD1","","FANCE","MCM8","AIM2","","WDR91","","SEC11C","HIC1","FPR1","MOAP1","","","CYP27A1","OSTM1","NTNG1","DRD2","","CCL18","","CTSH","CAV1","MYEF2","EHD2","EHD2","","IFI27","CPED1","CSF2","CFI","RP11-1E6.1","FAM118A","TYRP1","TPM2"
"52","AURKB","","","","GMPR","","FANCF","MCMDC1","TCN1","","ZFYVE16","","ZNF362","HSPB7","MAGEA4","TLE1","","","TM7SF3","FRMD4B","NMT2","DEPDC7","","CEACAM1","","SYT17","TJP1","NR4A1","EPHA2","EPHA2","","CLEC12B","MID1","CTSS","AXL","AC187652.1","HEATR5A","","VEGFC"
