p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.74466059528966e-137,8.86795224602467,0.557,0.153,7.49680657795968e-134,Myofibroblasts,MRGPRF
5.61124563000069e-125,8.84270664141425,0.522,0.079,2.4111522472113e-121,T-cells,CLEC2D
2.2268395934892e-72,8.83047358024363,0.31,0.033,9.56872973322311e-69,Fibroblasts,DKK2
3.4816582664702e-144,8.80779457767257,0.301,0.058,1.49606855710225e-140,Vascular endothelial cells,RALGAPA2
2.13050001911628e-112,8.80068558817871,0.303,0.15,9.15475858214266e-109,Vascular endothelial cells,NFE2L1
1.5515678941959e-63,8.79889077095678,0.428,0.23,6.66708724135977e-60,Myofibroblasts,DNAJB9
0,8.76565082495003,0.492,0.096,0,Fibroblasts,CXCL12
1.64305544840763e-175,8.76539581137879,0.585,0.038,7.06020926180758e-172,Lymphatic endothelial cells,PROX1
0,8.72319540418269,0.355,0.06,0,Vascular endothelial cells,HOXB7
2.95534084463878e-217,8.72311305971554,0.29,0.04,1.26990996094128e-213,Vascular endothelial cells,FAM84B
0,8.68416343173955,0.443,0.035,0,Vascular endothelial cells,EMCN
1.45582745325558e-183,8.65722384055787,0.993,0.055,6.25569056663922e-180,Melanocytes ,PMEL
3.27465225722816e-140,8.65279231656695,0.899,0.044,1.40711807493094e-136,Melanocytes ,SOX10
1.86158963288432e-102,8.63176244746624,0.5,0.162,7.99925065250391e-99,Myofibroblasts,INAFM1
3.16115188381937e-45,8.62897781334164,0.358,0.153,1.35834696447718e-41,Macrophages,SNN
0,8.62209443256551,0.747,0.16,0,Fibroblasts,S100A6
0,8.60052467200188,0.529,0.048,0,Fibroblasts,PI16
0,8.59930937114118,0.701,0.069,0,Myofibroblasts,TINAGL1
0,8.59175557124876,0.402,0.014,0,Vascular endothelial cells,CLEC14A
1.3813264939813e-45,8.58316899532754,0.417,0.129,5.93555994463763e-42,Lymphatic endothelial cells,DOCK5
0,8.56345045351327,0.747,0.14,0,Vascular endothelial cells,SPARCL1
0,8.5506598383293,0.354,0.008,0,Fibroblasts,DKK1
3.13327358372063e-193,8.5334873499533,0.443,0.022,1.34636765892476e-189,Macrophages,CD1E
0,8.53227725431303,0.704,0.234,0,Myofibroblasts,CYCS
0,8.52640743472126,0.771,0.214,0,Myofibroblasts,PDGFRB
0,8.51584817796949,0.542,0.155,0,Vascular endothelial cells,SPRY1
0,8.50757770722835,0.712,0.147,0,Myofibroblasts,HES4
4.82768694942248e-88,8.49812959556633,0.465,0.189,2.07445708216684e-84,Macrophages,GNA13
4.22288083328284e-55,8.47012576856609,0.253,0.109,1.81457189406164e-51,Vascular endothelial cells,TRIM25
0,8.46858468693104,0.351,0.039,0,Fibroblasts,CLEC3B
3.16421261346795e-244,8.46162193762914,0.588,0.159,1.35966216000718e-240,Macrophages,CTSS
0,8.45045600899872,0.564,0.204,0,Vascular endothelial cells,CTGF
8.06825413315416e-157,8.44954245742085,0.441,0.033,3.46692880101634e-153,Keratinocytes,SYT8
3.62862152709554e-296,8.44734571760808,0.643,0.049,1.55921867019296e-292,Myofibroblasts,SORBS2
0,8.42592445684704,0.643,0.036,0,Vascular endothelial cells,SELE
0,8.41101433252003,0.633,0.095,0,Keratinocytes,MFSD2A
1.30252297653071e-188,8.41037318536436,0.261,0.029,5.59694123015245e-185,Vascular endothelial cells,RAPGEF3
0,8.41027117895787,0.449,0.018,0,Fibroblasts,SPOCK1
1.26540752063576e-193,8.40944696898903,0.56,0.161,5.43745611617188e-190,Myofibroblasts,ZNF331
0,8.38856014267736,0.905,0.095,0,Myofibroblasts,MT1A
7.52347757808177e-31,8.38735430435121,0.316,0.204,3.23283831530174e-27,T-cells,HGS
0,8.36149005198791,0.673,0.088,0,Keratinocytes,ADRB2
5.83964037652225e-11,8.33260849281927,0.377,0.229,2.50929346979161e-07,Macrophages,RNF130
0,8.29729028616659,0.709,0.042,0,Fibroblasts,COL1A1
0,8.27059985620796,0.857,0.149,0,Myofibroblasts,CRISPLD2
2.13696801906541e-90,8.2579042609328,0.392,0.171,9.18255157792407e-87,Keratinocytes,NAB1
1.42372519539773e-115,8.24888518650002,0.545,0.085,6.11774716462406e-112,Lymphatic endothelial cells,CALCRL
2.55755350174778e-187,8.23669168250306,0.343,0.085,1.09898073970102e-183,Fibroblasts,BST1
0,8.21938081687202,0.934,0.08,0,Myofibroblasts,ACTA2
2.30524191898899e-107,8.21503854605578,0.839,0.171,9.90562452589568e-104,Melanocytes ,SLC1A4
1.06625704735005e-174,8.20521601098714,0.962,0.081,4.58170653246319e-171,Melanocytes ,TFAP2B
0,8.20455482981152,0.417,0.095,0,Fibroblasts,SCPEP1
1.83736850090866e-39,8.20306571054776,0.368,0.123,7.89517244840449e-36,Macrophages,C1orf54
1.26372771673801e-113,8.19027604651448,0.5,0.049,5.43023799882321e-110,Myofibroblasts,LMOD1
1.43305486917327e-132,8.18209632743067,0.601,0.116,6.15783677283753e-129,Lymphatic endothelial cells,MTUS1
3.96428585619192e-41,8.17973456733911,0.411,0.196,1.70345363240567e-37,Lymphatic endothelial cells,LTBP1
3.96536091337431e-23,8.17624523752766,0.304,0.156,1.70391558447694e-19,Macrophages,C12orf45
2.73622364224564e-27,8.16245801964895,0.408,0.116,1.17575529907295e-23,Myofibroblasts,KCNE4
4.23592315597708e-192,8.15674121223063,0.281,0.028,1.82017618012335e-188,Vascular endothelial cells,ERG
0,8.15464028816303,0.583,0.053,0,Fibroblasts,THY1
0.000808433387034886,8.14793706978795,0.258,0.167,1,Keratinocytes,ZNF326
1.24257030267764e-156,8.13712716496947,0.35,0.166,5.33932459060582e-153,Vascular endothelial cells,KCTD12
1.60132388701583e-192,8.13572138411296,0.529,0.105,6.88088874250703e-189,Macrophages,ARRB2
0,8.13548870028553,0.382,0.042,0,Fibroblasts,SEMA3C
0,8.13343695252147,0.493,0.046,0,Fibroblasts,PRELP
0,8.1241076346394,0.556,0.035,0,Fibroblasts,PCOLCE2
1.18141481344882e-31,8.11015774160765,0.699,0.245,5.07653945338957e-28,Melanocytes ,NSMF
0,8.1008657883816,0.913,0.158,0,Myofibroblasts,MT1M
0,8.07071393962644,0.7,0.055,0,Fibroblasts,MMP2
1.20967264434432e-258,8.06531131233441,0.334,0.051,5.19796335274754e-255,Vascular endothelial cells,SOX7
4.07344952468254e-39,8.06067127423145,0.377,0.05,1.75036126075609e-35,Macrophages,TSPAN33
4.84888801548284e-24,8.05678983943369,0.378,0.185,2.08356718025298e-20,Myofibroblasts,PLEKHO1
1.24993215333528e-165,8.05295769922485,0.268,0.051,5.37095846288171e-162,Vascular endothelial cells,MAGI1
2.25303006457367e-176,8.04594333197137,0.969,0.054,9.68127018747306e-173,Melanocytes ,PCSK2
0,8.04332909145477,0.434,0.03,0,Fibroblasts,PCSK1N
1.87336853732505e-133,8.03275335345883,0.474,0.239,8.04986460488576e-130,Macrophages,EIF4E
0,8.02277204723467,0.549,0.036,0,Fibroblasts,DPT
4.1372757594923e-23,8.02047635811498,0.287,0.176,1.77778739385384e-19,Macrophages,PTPN1
1.68920080025382e-132,8.02022867077088,0.902,0.112,7.25849583869066e-129,Melanocytes ,TFAP2A
0,8.01034152004247,0.706,0.146,0,T-cells,GNG2
0,7.99582079059375,0.463,0.093,0,Fibroblasts,FN1
5.07607374795303e-125,7.99308252583196,0.453,0.072,2.18118888949542e-121,Keratinocytes,MPZL2
8.43245164586047e-39,7.99076128009347,0.384,0.139,3.62342447222625e-35,Lymphatic endothelial cells,SMAGP
2.89407433532105e-170,7.9837665937151,0.955,0.059,1.24358374188745e-166,Melanocytes ,GPR143
6.47233294372681e-149,7.98165714423251,0.941,0.109,2.78116146591941e-145,Melanocytes ,ADGRG1
1.6614761923454e-110,7.97441549130604,0.292,0.185,7.1393631985082e-107,Macrophages,PDCL
5.28167108267945e-208,7.94997354139097,0.355,0.02,2.26953406422736e-204,Fibroblasts,FST
7.82903576751489e-49,7.93686366985569,0.351,0.072,3.36413666930115e-45,Lymphatic endothelial cells,CRACR2B
1.39251349483892e-184,7.91131467179778,1,0.059,5.98363048732282e-181,Melanocytes ,DCT
6.56526969931776e-141,7.90078820904314,0.253,0.03,2.82109638979684e-137,Vascular endothelial cells,SPNS2
2.75122195525113e-264,7.89468673347639,0.347,0.11,1.18220007417141e-260,Vascular endothelial cells,ENPP2
3.85521003684556e-208,7.89338366470652,0.296,0.149,1.65658375283254e-204,Vascular endothelial cells,TES
0,7.88971407954446,0.441,0.035,0,Fibroblasts,LOXL1
1.02749701316764e-158,7.88425929141171,0.93,0.108,4.41515466558135e-155,Melanocytes ,PAX3
0,7.87681694975049,0.717,0.076,0,Myofibroblasts,NDUFA4L2
1.96275232709663e-243,7.86914474030194,0.306,0.013,8.43394674953423e-240,Vascular endothelial cells,PTPRB
2.36393846919984e-285,7.86638900796028,0.38,0.015,1.01578436021517e-281,Fibroblasts,GSTM5
0,7.86424405786697,0.374,0.018,0,Fibroblasts,LAMA2
2.71647360444199e-147,7.84966602689268,0.565,0.236,1.16726870782872e-143,Myofibroblasts,EIF4A3
0,7.82166610922305,0.706,0.097,0,Keratinocytes,KLF5
0,7.82149655342857,0.452,0.145,0,Vascular endothelial cells,TNFSF10
4.90059664940915e-306,7.82012202957998,0.328,0.046,2.10578638025111e-302,Vascular endothelial cells,EDN1
5.42693303284425e-05,7.80526846639158,0.263,0.119,0.233195312421317,Fibroblasts,DPP4
1.22401544374221e-200,7.79756312359499,0.603,0.051,5.25959436176029e-197,Myofibroblasts,GJA4
0,7.79485548549818,0.767,0.043,0,Fibroblasts,CFD
3.13569558461598e-91,7.7730677170725,0.426,0.067,1.34740839270949e-87,Myofibroblasts,NRGN
1.53921467619323e-81,7.77277990647398,0.481,0.129,6.61400546360231e-78,Myofibroblasts,ADAMTS4
4.01605605656489e-158,7.76986398210682,0.451,0.051,1.72569928750593e-154,Keratinocytes,CDHR1
1.59217516835161e-149,7.76306807098254,0.3,0.076,6.84157669840686e-146,Vascular endothelial cells,MKL2
1.1047134448282e-08,7.75800419739352,0.566,0.169,4.74695367242676e-05,Melanocytes ,PON2
1.42873545932422e-164,7.75294278192057,0.359,0.119,6.13927626871616e-161,Fibroblasts,SHISA4
0,7.75156829830213,0.807,0.073,0,Macrophages,CXCL8
1.97358398237816e-142,7.74701633092883,0.482,0.164,8.48049037227896e-139,Macrophages,OTUD1
2.98475987479933e-215,7.74502695800586,0.534,0.055,1.28255131820127e-211,Macrophages,MNDA
1.49849380620957e-76,7.73688036978089,0.401,0.165,6.4390278852825e-73,T-cells,MTF2
7.48293823513914e-152,7.72487454229143,0.546,0.174,3.21541855963929e-148,T-cells,PTGER4
3.90415469615959e-85,7.72143397062979,0.464,0.212,1.67761527293978e-81,Macrophages,PPT1
6.56301330564284e-115,7.71105415029582,0.871,0.042,2.82012681743473e-111,Melanocytes ,TYR
5.98860189715695e-05,7.69700083308693,0.348,0.04,0.257330223520834,Myofibroblasts,ITGA7
4.70203117814243e-143,7.68361087044547,0.562,0.17,2.0204627972478e-139,T-cells,EML4
2.52448669290355e-287,7.6812666414384,0.423,0.211,1.08477193194065e-283,Fibroblasts,TIMP3
1.12325796589618e-217,7.65619589482107,0.308,0.117,4.82663947945587e-214,Vascular endothelial cells,PLAT
1.64698007683566e-125,7.64670013741862,0.405,0.204,7.07707339016284e-122,Macrophages,RNF24
1.18809080419369e-25,7.6162174903724,0.367,0.17,5.10522618562027e-22,Lymphatic endothelial cells,SHC1
1.65599074259227e-103,7.61360827409614,0.252,0.044,7.115792220919e-100,Vascular endothelial cells,MALL
1.31783858464657e-08,7.60245386665325,0.344,0.07,5.6627523982263e-05,Myofibroblasts,EGFLAM
6.86653531825275e-166,7.60238546265157,0.331,0.045,2.95055022625321e-162,Fibroblasts,ADAM33
0,7.59848990137673,0.455,0.119,0,Fibroblasts,SDC2
1.2177252256561e-147,7.58664295709439,0.536,0.189,5.23256529464428e-144,Macrophages,CD68
1.95880989036377e-116,7.57030165817693,0.566,0.105,8.41700609889313e-113,Lymphatic endothelial cells,SNCG
4.81627337899246e-189,7.56705913180006,0.841,0.216,2.06955267095306e-185,Lymphatic endothelial cells,GNG11
2.20572052207405e-37,7.54972462836536,0.388,0.187,9.47798108335218e-34,Keratinocytes,TOR1AIP2
9.86203270920482e-09,7.54885638255632,0.298,0.19,4.23771545514531e-05,T-cells,MRFAP1L1
0,7.53272689964096,0.736,0.066,0,Fibroblasts,PCOLCE
0,7.51897796102143,0.403,0.04,0,Fibroblasts,COL12A1
3.71652855340312e-50,7.51597753641332,0.328,0.089,1.59699231939732e-46,Lymphatic endothelial cells,MPP7
